San Andreas Gangster 3D,Action,94M,1.1,9 December 2015,com.prowardinteractive.gangsterventuras,San Andreas Gangster 3D,Action,94M,1.1,December 9, 2015,http://dl3.apk-dl.com/store/download?id=com.prowardinteractive.gangsterventuras,
Last Hope - Zombie Sniper 3D,Action,48M,5.12,5 May 2016,com.JESoftware.ZombieDefence,Last Hope - Zombie Sniper 3D,Action,48M,5.12,May 5, 2016,http://dl3.apk-dl.com/root/apk/2016/5/7/com.JESoftware.ZombieDefence_61.apk?f=Last Hope - Zombie Sniper 3D_5.12_apk-dl.com.apk,
Sniper Killer War,Action,16M,1.0.8,25 June 2016,com.sniper.feeling,Sniper Killer War,Action,16M,1.0.8,June 25, 2016,http://dl3.apk-dl.com/store/download?id=com.sniper.feeling,
Dog Puppy Simulator 3D,Action,50M,1.4.5,27 November 2015,com.koenigz.DogPuppySimulator,Dog Puppy Simulator 3D,Action,50M,1.4.5,November 27, 2015,http://dl3.apk-dl.com/store/download?id=com.koenigz.DogPuppySimulator,
Horror Hospital 3D,Action,26M,5.3,30 June 2016,com.heisengame.hospital,Horror Hospital 3D,Action,26M,5.3,June 30, 2016,http://dl3.apk-dl.com/root/apk/2016/7/10/com.heisengame.hospital_43.apk?f=Horror Hospital 3D_5.3_apk-dl.com.apk,
Angry Lion Attack 3D,Action,47M,1.2,15 February 2016,com.tapinator.lion.angry.attack3d,Angry Lion Attack 3D,Action,47M,1.2,February 15, 2016,http://dl3.apk-dl.com/store/download?id=com.tapinator.lion.angry.attack3d,
Combat Trigger: Modern Dead 3D,Action,,,22 October 2015,com.thunderbull_entertainment.callofdead,Combat Trigger: Modern Dead 3D,Action,Undefined,1.8,October 22, 2015,http://dl3.apk-dl.com/store/download?id=com.thunderbull_entertainment.callofdead,
Swat Team Counter Attack Force,Action,52M,1.0.5,14 June 2016,com.dts.swat.force.operation,Swat Team Counter Attack Force,Action,52M,1.0.5,June 14, 2016,http://dl3.apk-dl.com/root/apk/2016/6/16/com.dts.swat.force.operation_5.apk?f=Swat Team Counter Attack Force_1.0.5_apk-dl.com.apk,
Ninja Warrior Assassin 3D,Action,57M,2.0.8,2 May 2016,com.kick.ninja.warrior.attack,Ninja Warrior Assassin 3D,Action,57M,2.0.8,May 2, 2016,http://dl3.apk-dl.com/root/apk/2016/5/9/com.kick.ninja.warrior.attack_28.apk?f=Ninja Warrior Assassin 3D_2.0.8_apk-dl.com.apk,
Deer Hunting – 2015 Sniper 3D,Action,48M,2.5,6 May 2016,com.gss.sniper3d.deerhunting,Deer Hunting – 2015 Sniper 3D,Action,48M,2.5,May 6, 2016,http://dl3.apk-dl.com/store/download?id=com.gss.sniper3d.deerhunting,
Tank Battle 3D: World War II,Action,80M,2.02,23 June 2016,com.games3dhere.tankbattle,Tank Battle 3D: World War II,Action,80M,2.02,June 23, 2016,http://dl3.apk-dl.com/store/download?id=com.games3dhere.tankbattle,
Dinosaur Mercenary 3D,Action,47M,1.0,3 May 2015,com.sharkweed.dinosaur.mercenary,Dinosaur Mercenary 3D,Action,47M,1.0,May 3, 2015,http://dl3.apk-dl.com/store/download?id=com.sharkweed.dinosaur.mercenary,
Stunt Bike 3D,Action,13M,1.02,19 March 2014,com.i6.TappyBike,Stunt Bike 3D,Action,13M,1.02,March 19, 2014,http://dl3.apk-dl.com/store/download?id=com.i6.TappyBike,
